bin,characteristic,x_mean,n,speed_z_mean,quality_z_mean,lm_aioe_z_mean
14,mean_female,0.6068949257173846,31,0.3859381651472197,-0.014872443377411752,0.3798434
15,mean_female,0.6621179234596991,31,0.3496938936760269,-0.054597930238682105,0.5323565
16,mean_female,0.7185781876246135,30,0.4058591335140046,-0.033659488874073995,0.48788446
17,mean_female,0.7778619181725287,31,0.38439754853908475,-0.017906551397124323,0.43114114
18,mean_female,0.837412174670927,31,0.706494913766616,-0.25597050989620185,0.5950652
19,mean_female,0.9127785851878505,31,0.39999032451944744,-0.04195237345811151,0.38663122
0,mean_white,0.5580169082649292,31,-0.48342527717567424,-0.09856841630213523,-0.5109641
1,mean_white,0.6301283682546308,31,-0.333095814342453,-0.1779918697705286,-0.5150945
2,mean_white,0.6640703274357703,31,-0.5822055636418646,0.02920124363909271,-0.63725466
3,mean_white,0.6899541517098745,30,-0.15724997934876997,-0.2979158492576087,-0.22642578
4,mean_white,0.7094597085829704,31,0.11574439043600851,0.12791639526457005,0.20495316
5,mean_white,0.7216618926294388,31,-0.3280616868341811,0.03464337389667239,-0.31700847
6,mean_white,0.7385546267032623,30,0.0874201902601572,0.02334011751212426,0.03533366
7,mean_white,0.750540889078571,31,0.19509699516769005,-0.06544779043615756,0.06427041
8,mean_white,0.7627646019381862,31,0.11187270000630933,0.09032471096591572,0.049326405
9,mean_white,0.7681620717048645,31,1.4450795350017753,-0.1864956283019679,1.5196809
10,mean_white,0.7751280784606933,30,0.22884995215763418,0.076298030573651,0.2980994
11,mean_white,0.7835865789844144,31,0.11037393113300302,0.014292145954926996,0.15510184
12,mean_white,0.7921161459338281,31,0.3991527498564333,0.6212788714223165,0.4290135
13,mean_white,0.7996713817119598,30,-0.16007142940459135,0.09154769140288646,-0.08845149
14,mean_white,0.8083177747264985,31,0.037574371692261466,0.11540843975473462,0.04464366
15,mean_white,0.8183602652242107,31,0.48102241834225085,-0.48462254147698747,0.13712344
16,mean_white,0.8331507225831349,30,-0.21100327418709489,-0.16393567062947031,-0.12900884
17,mean_white,0.8461144701127084,31,-0.09529838605300846,0.12575605531402637,0.055280093
18,mean_white,0.8606655078549539,31,0.2399810156455363,-0.016069574432808573,0.29981717
19,mean_white,0.8919498112893873,31,-0.2613305655822903,0.09310327376854861,-0.262951
0,mean_black,0.01864774714434339,31,0.3851533909595078,0.05879927697424764,0.33792552
1,mean_black,0.029013540535684553,31,0.07977858722497154,-0.04449111690317705,0.0010732758
2,mean_black,0.03416860884716434,31,0.6255944594849772,-0.4911242015192286,0.29356822
3,mean_black,0.03979057321945826,30,-0.19935498302948507,0.14696545651425724,0.0749204
4,mean_black,0.04435540855892243,31,-0.3040410870425564,0.084262392123808,-0.28489655
5,mean_black,0.049570829156906374,31,0.7889938481909674,-0.4040019569531972,0.7347839
6,mean_black,0.05100978041688601,30,1.375414009252606,-0.1985584437009747,1.424979
7,mean_black,0.05376903748800678,31,-0.20232784266745185,0.5270564012863457,-0.25969493
8,mean_black,0.060219755095820275,31,-0.46395419779023195,0.007095599495472852,-0.50251096
9,mean_black,0.06538416661562459,31,0.09823343828439055,0.07947386790222086,0.15226421
10,mean_black,0.07092303534348805,30,0.21024856169689682,-0.04454753342417856,0.16836643
11,mean_black,0.07766587527528886,31,-0.30381107949260955,0.08186813001301443,-0.25688258
12,mean_black,0.08426123160508371,31,0.22040505860367168,0.12404979955690912,0.26809222
13,mean_black,0.08965547854701678,30,-0.2855440093799277,0.03798649505580751,-0.23706086
14,mean_black,0.09519831547814031,31,-0.1442292374803921,0.06194346601054842,-0.13741276
15,mean_black,0.10208282331305166,31,-0.008416288884385776,-0.04932092150598475,-0.030832792
16,mean_black,0.11421493937571843,30,-0.3271648020482247,0.06782007228047464,-0.27696615
17,mean_black,0.13021740629788367,31,-0.12700760300166333,-0.1697082732722659,-0.17382705
18,mean_black,0.15373272713153593,31,-0.31537510687799036,0.04507355021840529,-0.38111076
19,mean_black,0.20639625912712467,31,-0.2303735745831474,0.04046390764877394,-0.26849645
0,mean_asian,0.007835310538329424,31,-1.2127661987620242,0.04401402043374376,-1.2644325
1,mean_asian,0.012938975656945859,31,-0.8218329262123333,0.06703471302775314,-0.83552486
2,mean_asian,0.01696988600756853,31,-1.0592036109342664,0.019452193607499408,-1.1112944
3,mean_asian,0.02103421793629726,30,-1.0432824593951744,0.034949766059509606,-0.9603096
4,mean_asian,0.02448137398929365,31,-0.3959862434867399,0.04851358198678673,-0.36523327
5,mean_asian,0.02916598512280372,31,0.12980522933842298,0.012042365178405545,0.2141444
6,mean_asian,0.03318495309601228,30,0.044762107628102246,0.08886033858542684,0.2577759
7,mean_asian,0.038209839453620296,31,0.3056308120950038,-0.04944476264964646,0.33274952
8,mean_asian,0.04221189646951614,31,0.30908092534420734,0.024034315922983565,0.28096324
9,mean_asian,0.046413051024560004,31,0.03051140400285422,-0.13439978720159756,-0.026716283
10,mean_asian,0.050726328045129776,30,0.23908340756539753,-0.24545914882473524,0.12985007
11,mean_asian,0.054594784133857294,31,0.24908367292881226,0.20890162315580874,0.41031486
12,mean_asian,0.05950011877763656,31,0.5057735452579207,-0.6025537105606441,-0.054849587
13,mean_asian,0.06492103884617488,30,0.1648790041672984,-0.032247257546531474,0.15991876
14,mean_asian,0.07273052560706292,31,0.2184449313698475,0.08049211730566182,0.21213265
15,mean_asian,0.0878481206394011,31,0.3807723980977832,0.09104613477105636,0.4330398
16,mean_asian,0.10623826533555984,30,0.6201024867593582,0.5112155136638511,0.41889587
