code,title,observed,n_studies,estimate,posterior_std
17-2071.00,Electrical Engineers,,,0.2433,1.001
17-2072.00,Electronics Engineers; Except Computer,,,0.2165,1.0003
17-2072.01,Radio Frequency Identification Device Specialists,,,0.2935,1.0005
17-2081.00,Environmental Engineers,,,0.2356,1.0015
17-2111.00,Health and Safety Engineers; Except Mining Safety Engineers and Inspectors,,,0.2455,1.0023
17-2111.02,Fire-Prevention and Protection Engineers,,,0.2416,1.0048
17-2112.00,Industrial Engineers,,,0.2778,1.0008
17-2112.01,Human Factors Engineers and Ergonomists,,,0.247,1.0011
17-2112.02,Validation Engineers,,,0.2324,1.0135
17-2112.03,Manufacturing Engineers,,,0.2392,1.0009
17-2121.00,Marine Engineers and Naval Architects,,,0.2448,1.003
17-2131.00,Materials Engineers,,,0.2443,1.0014
17-2141.00,Mechanical Engineers,,,0.3307,1.0017
17-2141.01,Fuel Cell Engineers,,,0.2087,1.0015
17-2141.02,Automotive Engineers,,,0.2193,1.0009
17-2151.00,Mining and Geological Engineers; Including Mining Safety Engineers,,,0.2217,1.001
17-2161.00,Nuclear Engineers,,,0.2221,1.006
17-2171.00,Petroleum Engineers,,,0.231,1.001
17-2199.03,Energy Engineers; Except Wind and Solar,,,0.242,1.0007
17-2199.05,Mechatronics Engineers,,,0.2694,1.0005
17-2199.06,Microsystems Engineers,,,0.2753,1.001
17-2199.07,Photonics Engineers,,,0.229,1.0005
17-2199.08,Robotics Engineers,,,0.3429,1.0012
17-2199.09,Nanosystems Engineers,,,0.2024,1.0005
17-2199.10,Wind Energy Engineers,,,0.2301,1.0008
17-2199.11,Solar Energy Systems Engineers,,,0.2442,1.0017
17-3011.00,Architectural and Civil Drafters,,,0.2687,1.0024
17-3012.00,Electrical and Electronics Drafters,,,0.2528,1.0018
17-3013.00,Mechanical Drafters,,,0.2986,1.0004
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,,,0.2227,1.0022
17-3022.00,Civil Engineering Technologists and Technicians,,,0.238,1.0013
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,,,0.2444,1.0013
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,,,0.2431,1.0055
17-3024.01,Robotics Technicians,,,0.2539,1.0022
17-3025.00,Environmental Engineering Technologists and Technicians,,,0.2318,1.002
17-3026.00,Industrial Engineering Technologists and Technicians,,,0.3315,1.0011
17-3026.01,Nanotechnology Engineering Technologists and Technicians,,,0.235,1.003
17-3027.00,Mechanical Engineering Technologists and Technicians,,,0.2321,1.001
17-3027.01,Automotive Engineering Technicians,,,0.2399,1.0023
17-3029.01,Non-Destructive Testing Specialists,,,0.2439,1.0244
17-3029.08,Photonics Technicians,,,0.2434,1.006
17-3031.00,Surveying and Mapping Technicians,,,0.2121,1.0006
19-1011.00,Animal Scientists,,,0.2187,1.0006
19-1012.00,Food Scientists and Technologists,,,0.254,1.0018
19-1013.00,Soil and Plant Scientists,,,0.233,1.001
19-1021.00,Biochemists and Biophysicists,,,0.2277,1.0008
19-1022.00,Microbiologists,,,0.2213,1.0014
19-1023.00,Zoologists and Wildlife Biologists,,,0.2475,1.0027
19-1029.01,Bioinformatics Scientists,,,0.3521,1.0007
19-1029.02,Molecular and Cellular Biologists,,,0.2549,1.0017
19-1029.03,Geneticists,,,0.2463,1.0014
19-1029.04,Biologists,,,0.2328,1.0009
19-1031.00,Conservation Scientists,,,0.1972,1.001
19-1031.02,Range Managers,,,0.2453,1.003
19-1031.03,Park Naturalists,,,0.2593,1.0137
19-1032.00,Foresters,,,0.2312,1.0024
19-1041.00,Epidemiologists,,,0.1291,1.0007
19-1042.00,Medical Scientists; Except Epidemiologists,,,0.3177,1.0022
19-2011.00,Astronomers,,,0.1929,1.0005
19-2012.00,Physicists,,,0.2225,1.0006
19-2021.00,Atmospheric and Space Scientists,,,0.1488,1.0006
19-2031.00,Chemists,,,0.2137,1.0019
19-2032.00,Materials Scientists,,,0.2353,1.0011
19-2041.00,Environmental Scientists and Specialists; Including Health,,,0.2293,1.003
19-2041.01,Climate Change Policy Analysts,,,0.2393,1.002
19-2041.02,Environmental Restoration Planners,,,0.2432,1.0023
19-2041.03,Industrial Ecologists,,,0.1861,1.0007
19-2042.00,Geoscientists; Except Hydrologists and Geographers,,,0.1996,1.0007
19-2043.00,Hydrologists,,,0.1576,1.0006
19-2099.01,Remote Sensing Scientists and Technologists,,,0.2124,1.0004
19-3011.00,Economists,,,0.1472,1.0006
19-3011.01,Environmental Economists,,,0.1367,1.0007
19-3022.00,Survey Researchers,,,0.1958,1.0006
19-3032.00,Industrial-Organizational Psychologists,,,0.225,1.0015
19-3033.00,Clinical and Counseling Psychologists,,,0.2401,1.0045
19-3034.00,School Psychologists,,,0.2474,1.0044
19-3039.02,Neuropsychologists,,,0.2252,1.0006
19-3039.03,Clinical Neuropsychologists,,,0.1886,1.0005
19-3041.00,Sociologists,,,0.2298,1.0011
19-3051.00,Urban and Regional Planners,,,0.2384,1.0044
19-3091.00,Anthropologists and Archeologists,,,0.2648,1.0018
19-3092.00,Geographers,,,0.2156,1.0005
19-3093.00,Historians,,,0.2559,1.0041
19-3094.00,Political Scientists,,,0.2056,1.001
19-3099.01,Transportation Planners,,,0.2221,1.0012
19-4012.00,Agricultural Technicians,,,0.2437,1.004
19-4012.01,Precision Agriculture Technicians,,,0.2391,1.0019
19-4013.00,Food Science Technicians,,,0.2353,1.0032
19-4021.00,Biological Technicians,,,0.2242,1.0021
19-4031.00,Chemical Technicians,,,0.2238,1.0013
19-4042.00,Environmental Science and Protection Technicians; Including Health,,,0.2303,1.0019
19-4043.00,Geological Technicians; Except Hydrologic Technicians,,,0.2207,1.0011
19-4051.00,Nuclear Technicians,,,0.2394,1.0143
19-4051.02,Nuclear Monitoring Technicians,,,0.2252,1.0027
19-4061.00,Social Science Research Assistants,,,0.197,1.0005
19-4071.00,Forest and Conservation Technicians,,,0.2462,1.003
19-4092.00,Forensic Science Technicians,,,0.2446,1.0025
19-4099.01,Quality Control Analysts,,,0.211,1.0022
